Place,Name,Gender,Time
1,D'HAENE François,M,20:46:00
2,DUNAND-PALLAZ Aurélien,M,20:58:31
3,BLANCHARD Mathieu,M,21:12:44
4,POMMERET Ludovic,M,21:38:45
5,GRANGIER Germain,M,21:52:47
6,NAMBERGER Hannes,M,22:22:06
7,DAUWALTER Courtney,F,22:30:55
8,CURMER Gregoire,M,23:00:10
8,PAZOS Diego,M,23:00:10
10,CLÉMENT Mathieu,M,23:08:06
11,WONG Ho Chung,M,23:17:40
12,NOEL Yannick,M,23:42:28
13,ORNATI Giulio,M,23:45:42
14,TOLSTENKO Aleksei,M,23:56:20
15,AIZPURU LARRAÑAGA Jon,M,23:57:07
16,BRUYAS Camille,F,24:09:42
17,VIET Vincent,M,24:16:26
18,FERRARI Ugo,M,24:34:37
19,BUBLAK Benjamin,M,24:37:06
20,DOMINGUEZ LEDO Javier,M,24:39:19
21,ROVERA René,M,24:49:03
22,SOUSA Bruno,M,24:54:20
23,KOTKA Mimmi,F,25:08:30
24,CERISIER Nicolas,M,25:09:31
25,LABY Jeremy,M,25:12:33
26,HELIER Clement,M,25:17:54
27,TAZI Samir,M,25:17:55
28,GOLEA Cedric,M,25:24:10
29,DURAND Regis,M,25:34:38
30,GARAU MAIRATA Pere Lluis,M,25:39:18
31,ŠTVERÁK Tomáš,M,25:50:27
32,MARIN Jérémie,M,25:51:37
33,DELESPIERRE Marion,F,25:54:33
34,JAY Luke,M,25:54:40
35,ROUX Stephen,M,25:59:45
36,BUEHLER Luzia,F,26:06:17
37,OLLÉ BERNADES Marc,M,26:08:56
38,LECURU Thibaut,M,26:19:10
39,RODRIGUEZ FERNANDEZ Jose Antonio,M,26:21:24
40,PERRIER Martin,M,26:37:47
41,PURSCHKE André,M,26:40:27
42,NAKACHE Maryline,F,26:40:49
43,BOUCHEIX Alexandre,M,26:42:05
44,JAMSIN Lucie,F,26:44:42
45,GRENOT Maxime,M,26:45:08
46,HAJNAL Robert,M,26:51:21
47,POLIGNÉ Maxime,M,27:05:31
48,MIRASSOU Jérôme,M,27:21:50
49,ARROYO MORENO Ginés,M,27:25:42
50,FRACK Louis,M,27:29:56
51,SONDAZ Nicolas,M,27:38:34
52,SCHIDE Katie,F,27:39:45
53,SHEPHERD Samuel,M,27:41:20
54,DE COUESNONGLE Hugues-Marie,M,27:42:09
55,BOURGEOIS Ludovic,M,27:43:39
56,HALL Benjamin,M,27:46:37
57,LANGEL Kai,M,27:49:25
58,HRUŠKA Zdeněk,M,27:53:27
59,TREMPS Claudia,F,27:55:37
60,KEITH Eoin,M,28:04:12
61,GUBERT Marco,M,28:07:43
62,MCCONNACHIE Stuart,M,28:09:21
63,OLIVAR CALVO Julien,M,28:09:39
64,VAN GULCK Olivier,M,28:11:13
65,DELILLE Remi,M,28:13:06
66,DOLGOV Anton,M,28:13:20
67,FRIES Stellan,M,28:16:16
68,PEREZ VELARDE Juan Francisco,M,28:18:54
69,BUCKLEY Brian,M,28:19:21
70,PELISSON Vincent,M,28:22:20
71,PAVLU Ondrej,M,28:23:46
72,SEPP Leivo,M,28:29:35
73,HAWGOOD Emily,F,28:36:49
74,SHELKOVOY Sergey,M,28:40:05
75,CABALLÉ Francesc,M,28:44:04
76,WEIDMAN William,M,28:48:18
77,FERNANDEZ Johan,M,28:51:36
78,DĄBROWSKI Kamil,M,28:53:17
79,PARDELA Bartosz,M,28:53:20
80,RIGOULET Stephane,M,28:54:59
81,JACQUEMIN Sébastien,M,28:59:00
82,IGLESIAS MARTIN Jose Francisco,M,29:00:17
83,ARCÉ Patrick,M,29:10:13
84,BOLDANE Linda,F,29:12:00
85,MASSANET Sebastian,M,29:12:49
86,MORENO VIÑAS Esteve,M,29:14:00
87,FRAILE AZPEITIA Uxue,F,29:14:02
88,GRANET Matthis,M,29:23:39
89,BERGER Vincent-Michel,M,29:29:20
90,LØVDOKKEN Jan Olav,M,29:30:11
91,KÜHBERGER Anton,M,29:34:27
92,ETXARRI Alfontso,M,29:39:26
93,NIWA Kaori,F,29:47:25
94,BOURGEOIS Julien,M,29:49:42
95,GUIBERT ALGLAVE Daphné,F,29:54:38
96,CLARK Andrew,M,30:00:20
97,FLENNER Elijah,M,30:02:54
